year,state,body,party,count
2021,AL,statesenate,dem,7
2021,AK,statesenate,dem,7
2021,AZ,statesenate,dem,14
2021,AR,statesenate,dem,7
2021,CA,statesenate,dem,30
2021,CO,statesenate,dem,20
2021,CT,statesenate,dem,23
2021,DE,statesenate,dem,14
2021,FL,statesenate,dem,16
2021,GA,statesenate,dem,22
2021,HI,statesenate,dem,24
2021,ID,statesenate,dem,7
2021,IL,statesenate,dem,41
2021,IN,statesenate,dem,11
2021,IA,statesenate,dem,18
2021,KS,statesenate,dem,11
2021,KY,statesenate,dem,8
2021,LA,statesenate,dem,12
2021,ME,statesenate,dem,21
2021,MD,statesenate,dem,32
2021,MA,statesenate,dem,37
2021,MI,statesenate,dem,16
2021,MN,statesenate,dem,31
2021,MS,statesenate,dem,16
2021,MO,statesenate,dem,10
2021,MT,statesenate,dem,19
2021,NE,statesenate,dem,0
2021,NV,statesenate,dem,12
2021,NH,statesenate,dem,10
2021,NJ,statesenate,dem,25
2021,NM,statesenate,dem,27
2021,NY,statesenate,dem,43
2021,NC,statesenate,dem,22
2021,ND,statesenate,dem,7
2021,OH,statesenate,dem,8
2021,OK,statesenate,dem,9
2021,OR,statesenate,dem,18
2021,PA,statesenate,dem,21
2021,RI,statesenate,dem,33
2021,SC,statesenate,dem,16
2021,SD,statesenate,dem,3
2021,TN,statesenate,dem,6
2021,TX,statesenate,dem,12
2021,UT,statesenate,dem,6
2021,VT,statesenate,dem,21
2021,VA,statesenate,dem,21
2021,WA,statesenate,dem,29
2021,WV,statesenate,dem,11
2021,WI,statesenate,dem,12
2021,WY,statesenate,dem,2
2021,AL,statesenate,rep,26
2021,AK,statesenate,rep,13
2021,AZ,statesenate,rep,16
2021,AR,statesenate,rep,27
2021,CA,statesenate,rep,9
2021,CO,statesenate,rep,15
2021,CT,statesenate,rep,12
2021,DE,statesenate,rep,7
2021,FL,statesenate,rep,24
2021,GA,statesenate,rep,34
2021,HI,statesenate,rep,1
2021,ID,statesenate,rep,28
2021,IL,statesenate,rep,18
2021,IN,statesenate,rep,39
2021,IA,statesenate,rep,32
2021,KS,statesenate,rep,29
2021,KY,statesenate,rep,30
2021,LA,statesenate,rep,27
2021,ME,statesenate,rep,13
2021,MD,statesenate,rep,15
2021,MA,statesenate,rep,3
2021,MI,statesenate,rep,22
2021,MN,statesenate,rep,34
2021,MS,statesenate,rep,36
2021,MO,statesenate,rep,24
2021,MT,statesenate,rep,31
2021,NE,statesenate,rep,0
2021,NV,statesenate,rep,9
2021,NH,statesenate,rep,14
2021,NJ,statesenate,rep,15
2021,NM,statesenate,rep,15
2021,NY,statesenate,rep,20
2021,NC,statesenate,rep,28
2021,ND,statesenate,rep,40
2021,OH,statesenate,rep,25
2021,OK,statesenate,rep,39
2021,OR,statesenate,rep,11
2021,PA,statesenate,rep,27
2021,RI,statesenate,rep,5
2021,SC,statesenate,rep,30
2021,SD,statesenate,rep,32
2021,TN,statesenate,rep,27
2021,TX,statesenate,rep,19
2021,UT,statesenate,rep,23
2021,VT,statesenate,rep,7
2021,VA,statesenate,rep,18
2021,WA,statesenate,rep,20
2021,WV,statesenate,rep,23
2021,WI,statesenate,rep,20
2021,WY,statesenate,rep,28
2021,AL,statesenate,vacant,2
2021,CA,statesenate,vacant,1
2021,CT,statesenate,vacant,1
2021,ME,statesenate,vacant,1
2021,PA,statesenate,vacant,1
2021,VA,statesenate,vacant,1
2021,WI,statesenate,vacant,1
2021,AR,statesenate,other,1
2021,MN,statesenate,other,2
2021,OR,statesenate,other,1
2021,PA,statesenate,other,1
2021,VT,statesenate,other,2
2021,NE,statesenate,nonpartisan,49
2021,AL,statehouse,dem,28
2021,AK,statehouse,dem,15
2021,AZ,statehouse,dem,28
2021,AR,statehouse,dem,22
2021,CA,statehouse,dem,60
2021,CO,statehouse,dem,41
2021,CT,statehouse,dem,97
2021,DE,statehouse,dem,26
2021,FL,statehouse,dem,42
2021,GA,statehouse,dem,76
2021,HI,statehouse,dem,47
2021,ID,statehouse,dem,12
2021,IL,statehouse,dem,73
2021,IN,statehouse,dem,29
2021,IA,statehouse,dem,41
2021,KS,statehouse,dem,41
2021,KY,statehouse,dem,25
2021,LA,statehouse,dem,35
2021,ME,statehouse,dem,80
2021,MD,statehouse,dem,99
2021,MA,statehouse,dem,128
2021,MI,statehouse,dem,52
2021,MN,statehouse,dem,70
2021,MS,statehouse,dem,46
2021,MO,statehouse,dem,48
2021,MT,statehouse,dem,33
2021,NE,statehouse,dem,0
2021,NV,statehouse,dem,26
2021,NH,statehouse,dem,187
2021,NJ,statehouse,dem,52
2021,NM,statehouse,dem,45
2021,NY,statehouse,dem,106
2021,NC,statehouse,dem,51
2021,ND,statehouse,dem,14
2021,OH,statehouse,dem,35
2021,OK,statehouse,dem,19
2021,OR,statehouse,dem,37
2021,PA,statehouse,dem,90
2021,RI,statehouse,dem,65
2021,SC,statehouse,dem,43
2021,SD,statehouse,dem,8
2021,TN,statehouse,dem,26
2021,TX,statehouse,dem,67
2021,UT,statehouse,dem,17
2021,VT,statehouse,dem,93
2021,VA,statehouse,dem,55
2021,WA,statehouse,dem,57
2021,WV,statehouse,dem,23
2021,WI,statehouse,dem,38
2021,WY,statehouse,dem,7
2021,AL,statehouse,rep,77
2021,AK,statehouse,rep,21
2021,AZ,statehouse,rep,31
2021,AR,statehouse,rep,78
2021,CA,statehouse,rep,19
2021,CO,statehouse,rep,24
2021,CT,statehouse,rep,54
2021,DE,statehouse,rep,15
2021,FL,statehouse,rep,78
2021,GA,statehouse,rep,103
2021,HI,statehouse,rep,4
2021,ID,statehouse,rep,58
2021,IL,statehouse,rep,45
2021,IN,statehouse,rep,71
2021,IA,statehouse,rep,59
2021,KS,statehouse,rep,84
2021,KY,statehouse,rep,75
2021,LA,statehouse,rep,67
2021,ME,statehouse,rep,66
2021,MD,statehouse,rep,42
2021,MA,statehouse,rep,30
2021,MI,statehouse,rep,58
2021,MN,statehouse,rep,64
2021,MS,statehouse,rep,75
2021,MO,statehouse,rep,114
2021,MT,statehouse,rep,67
2021,NE,statehouse,rep,0
2021,NV,statehouse,rep,16
2021,NH,statehouse,rep,213
2021,NJ,statehouse,rep,28
2021,NM,statehouse,rep,24
2021,NY,statehouse,rep,43
2021,NC,statehouse,rep,69
2021,ND,statehouse,rep,80
2021,OH,statehouse,rep,64
2021,OK,statehouse,rep,82
2021,OR,statehouse,rep,23
2021,PA,statehouse,rep,112
2021,RI,statehouse,rep,10
2021,SC,statehouse,rep,81
2021,SD,statehouse,rep,62
2021,TN,statehouse,rep,73
2021,TX,statehouse,rep,82
2021,UT,statehouse,rep,58
2021,VT,statehouse,rep,46
2021,VA,statehouse,rep,45
2021,WA,statehouse,rep,41
2021,WV,statehouse,rep,77
2021,WI,statehouse,rep,60
2021,WY,statehouse,rep,51
2021,AZ,statehouse,vacant,1
2021,GA,statehouse,vacant,1
2021,LA,statehouse,vacant,1
2021,MA,statehouse,vacant,1
2021,MO,statehouse,vacant,1
2021,PA,statehouse,vacant,1
2021,TX,statehouse,vacant,1
2021,WI,statehouse,vacant,1
2021,AK,statehouse,other,4
2021,CA,statehouse,other,1
2021,LA,statehouse,other,2
2021,ME,statehouse,other,5
2021,MA,statehouse,other,1
2021,MS,statehouse,other,1
2021,NM,statehouse,other,1
2021,NY,statehouse,other,1
2021,VT,statehouse,other,11
2021,WY,statehouse,other,2
