GEOID,STATE,NAME,RATING,FLIP,GOPSUPER,GOPMAJ,TIE,DEMMAJ,DEM SUPER,NWNetFlip
01,AL,Alabama,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
02,AK,Alaska,Safe R,,0.000000,0.982000,0.018000,0.000000,0.000000,-2
04,AZ,Arizona,Lean D,R TO D,0.000000,0.286000,0.208000,0.506000,0.000000,-2
05,AR,Arkansas,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
06,CA,California,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-2
08,CO,Colorado,Safe D,,0.000000,0.000000,0.000000,1.000000,0.000000,-2
09,CT,Connecticut,Safe D,,0.000000,0.033000,0.043000,0.389000,0.535000,-2
10,DE,Delaware,Safe D,,0.000000,0.000000,0.000000,0.108000,0.892000,-2
11,DC,District of Columbia,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
12,FL,Florida,Safe R,,0.000000,0.922000,0.078000,0.000000,0.000000,-2
13,GA,Georgia,Safe R,,0.000000,1.000000,0.000000,0.000000,0.000000,-2
15,HI,Hawaii,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-2
16,ID,Idaho,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
17,IL,Illinois,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-2
18,IN,Indiana,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
19,IA,Iowa,Safe R,,0.000000,0.984000,0.014000,0.002000,0.000000,-2
20,KS,Kansas,Safe R,,0.395000,0.598000,0.007000,0.000000,0.000000,-2
21,KY,Kentucky,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
22,LA,Louisiana,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
23,ME,Maine,Safe D,,0.000000,0.031000,0.000000,0.747000,0.221000,-2
24,MD,Maryland,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
25,MA,Massachusetts,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-2
26,MI,Michigan,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
27,MN,Minnesota,Lean D,R TO D,0.000000,0.280000,0.000000,0.718000,0.002000,-2
28,MS,Mississippi,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
29,MO,Missouri,Safe R,,0.769000,0.231000,0.000000,0.000000,0.000000,-2
30,MT,Montana,Safe R,,0.011000,0.989000,0.000000,0.000000,0.000000,-2
31,NE,Nebraska,Safe R,,0.338000,0.662000,0.000000,0.000000,0.000000,-2
32,NV,Nevada,Safe D,,0.000000,0.000000,0.000000,0.695000,0.305000,-2
33,NH,New Hampshire,Lean D,,0.003000,0.161000,0.103000,0.354000,0.377000,-2
34,NJ,New Jersey,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
35,NM,New Mexico,Safe D,,0.000000,0.000000,0.002000,0.667000,0.331000,-2
36,NY,New York,Safe D,,0.000000,0.000000,0.000000,0.244000,0.756000,-2
37,NC,North Carolina,Tilt R,,0.050000,0.533000,0.145000,0.273000,0.000000,-2
38,ND,North Dakota,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
39,OH,Ohio,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
40,OK,Oklahoma,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
41,OR,Oregon,Safe D,,0.000000,0.000000,0.000000,0.168000,0.832000,-2
42,PA,Pennsylvania,Likely R,,0.000000,0.842000,0.158000,0.000000,0.000000,-2
44,RI,Rhode Island,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-2
45,SC,South Carolina,Safe R,,0.009000,0.965000,0.026000,0.000000,0.000000,-2
46,SD,South Dakota,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
47,TN,Tennessee,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
48,TX,Texas,Safe R,,0.000000,1.000000,0.000000,0.000000,0.000000,-2
49,UT,Utah,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2
50,VT,Vermont,Safe D,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
51,VA,Virginia,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-2
53,WA,Washington,Safe D,,0.000000,0.000000,0.000000,0.902000,0.098000,-2
54,WV,West Virginia,Lean R,,0.070000,0.619000,0.131000,0.179000,0.000000,-2
55,WI,Wisconsin,Safe R,,0.054000,0.937000,0.000000,0.008000,0.000000,-2
56,WY,Wyoming,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-2